

"Year","Value",
"1961","3071596055",
"1962","3124561005",
"1963","3189655687",
"1964","3255145692",
"1965","3322046795",
"1966","3392097729",
"1967","3461619724",
"1968","3532782993",
"1969","3606553753",
"1970","3681975908",
"1971","3760516757",
"1972","3836900801",
"1973","3912984371",
"1974","3988487336",
"1975","4062507027",
"1976","4135432265",
"1977","4207786422",
"1978","4281339378",
"1979","4356778367",
"1980","4432963653",
"1981","4511164132",
"1982","4592387213",
"1983","4674330282",
"1984","4755996689",
"1985","4839176734",
"1986","4924747934",
"1987","5012556248",
"1988","5101287675",
"1989","5189977062",
"1990","5280062644",
"1991","5368139818",
"1992","5452576967",
"1993","5537885402",
"1994","5622085293",
"1995","5706753581",
"1996","5789655178",
"1997","5872284397",
"1998","5954004340",
"1999","6034484369",
"2000","6114324044",
"2001","6193663732",
"2002","6272724236",
"2003","6351855732",
"2004","6431527221",
"2005","6511724848",
"2006","6592711655",
"2007","6674181848",
"2008","6757000414",
"2009","6839553692",
"2010","6921854591",
"2011","7003760440",
"2012","7089254548",
"2013","7175500378",
"2014","7261846543",
"2015","7347679005",
"2016","7433569330",
"2017","7519183459",
"2018","7602454161",


